"t"	"Luma"	"Luminance"	"Shutter Speed (s)"	"Aperture (f/N)"	"ISO"
7.434968879E0	1.010315886E0	3.253677627E0	3.567164900E-2	1.799999952E0	2.500000000E1
7.484981302E0	1.012782991E0	3.438003829E0	3.376294900E-2	1.799999952E0	2.500000000E1
7.534974456E0	1.011565564E0	3.621627023E0	3.205304300E-2	1.799999952E0	2.500000000E1
7.578463417E0	1.011799374E0	3.812454210E0	3.045039000E-2	1.799999952E0	2.500000000E1
7.620135956E0	1.014963880E0	4.013514146E0	2.892787000E-2	1.799999952E0	2.500000000E1
7.658586263E0	1.012021091E0	4.224768836E0	2.748147600E-2	1.799999952E0	2.500000000E1
7.694292148E0	1.013045021E0	4.224819916E0	2.748147600E-2	1.799999952E0	2.500000000E1
7.728777533E0	1.009255676E0	4.447411890E0	2.610740200E-2	1.799999952E0	2.500000000E1
7.762115148E0	1.015850748E0	4.681505235E0	2.480203100E-2	1.799999952E0	2.500000000E1
7.795449994E0	1.011456721E0	4.927840765E0	2.356192900E-2	1.799999952E0	2.500000000E1
7.828789033E0	1.012835397E0	5.187577209E0	2.238383200E-2	1.799999952E0	2.500000000E1
7.862128379E0	1.014052825E0	5.460739718E0	2.126464000E-2	1.799999952E0	2.500000000E1
7.928794840E0	1.011751000E0	5.748147072E0	2.020140800E-2	1.799999952E0	2.500000000E1
7.962137994E0	1.011287410E0	6.050339974E0	1.919133700E-2	1.799999952E0	2.500000000E1
8.028807109E0	1.013218363E0	6.367957694E0	1.823177000E-2	1.799999952E0	2.500000000E1
8.062144109E0	1.011936436E0	6.703680886E0	1.732018100E-2	1.799999952E0	2.500000000E1
8.095476494E0	1.009900671E0	7.053350029E0	1.645417100E-2	1.799999952E0	2.500000000E1
8.162150840E0	1.006744227E0	7.420508124E0	1.563146200E-2	1.799999952E0	2.500000000E1
8.228823494E0	1.008175310E0	7.802900616E0	1.484988800E-2	1.799999952E0	2.500000000E1
8.262159109E0	1.006905476E0	8.198123553E0	1.410739300E-2	1.799999952E0	2.500000000E1
8.295496340E0	1.005627580E0	8.610890103E0	1.340202300E-2	1.799999952E0	2.500000000E1
8.328834763E0	1.009852296E0	9.062992906E0	1.273192100E-2	1.799999952E0	2.500000000E1
8.362166878E0	1.005482456E0	9.498019199E0	1.209532400E-2	1.799999952E0	2.500000000E1
8.395500301E0	1.002995195E0	9.952999401E0	1.149055700E-2	1.799999952E0	2.500000000E1
8.428839186E0	1.002773478E0	1.047529847E1	1.091602900E-2	1.799999952E0	2.500000000E1
8.462174763E0	1.002346169E0	1.102387816E1	1.037022700E-2	1.799999952E0	2.500000000E1
8.495512378E0	1.000709494E0	1.156527880E1	9.851715000E-3	1.799999952E0	2.500000000E1
8.528847147E0	9.940096104E-1	1.211683281E1	9.359129000E-3	1.799999952E0	2.500000000E1
8.595523878E0	9.868662926E-1	1.255442053E1	8.891172000E-3	1.799999952E0	2.500000000E1
8.628859609E0	9.853545859E-1	1.313989559E1	8.446613000E-3	1.799999952E0	2.500000000E1
8.662195109E0	9.827544505E-1	1.370912970E1	8.024282000E-3	1.799999952E0	2.500000000E1
8.695530763E0	9.674600103E-1	1.400320206E1	7.623067000E-3	1.799999952E0	2.500000000E1
8.762202840E0	9.566160346E-1	1.451213235E1	7.241913000E-3	1.799999952E0	2.500000000E1
